title,description,label,severity,priority,team
Authentication Bug #1,The system fails to handle 'authentication' properly in the authentication module.,Authentication,Low,P0,Backend
Authentication Bug #2,The system fails to handle 'logout' properly in the authentication module.,Authentication,Low,P2,Backend
Authentication Bug #3,The system fails to handle 'session' properly in the authentication module.,Authentication,Critical,P1,Backend
Authentication Bug #4,The system fails to handle 'login' properly in the authentication module.,Authentication,Medium,P0,Backend
Authentication Bug #5,The system fails to handle 'logout' properly in the authentication module.,Authentication,Critical,P1,Backend
Authentication Bug #6,The system fails to handle 'token' properly in the authentication module.,Authentication,High,P2,Backend
Authentication Bug #7,The system fails to handle 'login' properly in the authentication module.,Authentication,Critical,P0,Backend
Authentication Bug #8,The system fails to handle 'token' properly in the authentication module.,Authentication,Medium,P3,Backend
Authentication Bug #9,The system fails to handle 'credentials' properly in the authentication module.,Authentication,High,P3,Backend
Authentication Bug #10,The system fails to handle 'logout' properly in the authentication module.,Authentication,Critical,P1,Backend
Authentication Bug #11,The system fails to handle 'credentials' properly in the authentication module.,Authentication,Low,P2,Backend
Authentication Bug #12,The system fails to handle 'token' properly in the authentication module.,Authentication,Medium,P1,Backend
Authentication Bug #13,The system fails to handle 'logout' properly in the authentication module.,Authentication,High,P1,Backend
Authentication Bug #14,The system fails to handle 'login' properly in the authentication module.,Authentication,Critical,P3,Backend
Authentication Bug #15,The system fails to handle 'authentication' properly in the authentication module.,Authentication,Low,P3,Backend
Authentication Bug #16,The system fails to handle 'credentials' properly in the authentication module.,Authentication,High,P1,Backend
Authentication Bug #17,The system fails to handle 'session' properly in the authentication module.,Authentication,Low,P2,Backend
Authentication Bug #18,The system fails to handle 'login' properly in the authentication module.,Authentication,Medium,P1,Backend
Authentication Bug #19,The system fails to handle 'logout' properly in the authentication module.,Authentication,Critical,P2,Backend
Authentication Bug #20,The system fails to handle 'authentication' properly in the authentication module.,Authentication,Medium,P3,Backend
Authentication Bug #21,The system fails to handle 'logout' properly in the authentication module.,Authentication,Low,P3,Backend
Authentication Bug #22,The system fails to handle 'token' properly in the authentication module.,Authentication,Medium,P3,Backend
Authentication Bug #23,The system fails to handle 'credentials' properly in the authentication module.,Authentication,High,P3,Backend
Authentication Bug #24,The system fails to handle 'authentication' properly in the authentication module.,Authentication,Critical,P1,Backend
Authentication Bug #25,The system fails to handle 'login' properly in the authentication module.,Authentication,High,P2,Backend
Authentication Bug #26,The system fails to handle 'session' properly in the authentication module.,Authentication,Low,P0,Backend
Authentication Bug #27,The system fails to handle 'authentication' properly in the authentication module.,Authentication,Medium,P0,Backend
Authentication Bug #28,The system fails to handle 'credentials' properly in the authentication module.,Authentication,Low,P0,Backend
Authentication Bug #29,The system fails to handle 'credentials' properly in the authentication module.,Authentication,Critical,P3,Backend
Authentication Bug #30,The system fails to handle 'authentication' properly in the authentication module.,Authentication,Medium,P2,Backend
UI Bug #1,The system fails to handle 'dropdown' properly in the ui module.,UI,Low,P3,Frontend
UI Bug #2,The system fails to handle 'style' properly in the ui module.,UI,High,P2,Frontend
UI Bug #3,The system fails to handle 'dropdown' properly in the ui module.,UI,Medium,P0,Frontend
UI Bug #4,The system fails to handle 'button' properly in the ui module.,UI,High,P3,Frontend
UI Bug #5,The system fails to handle 'button' properly in the ui module.,UI,Critical,P3,Frontend
UI Bug #6,The system fails to handle 'dropdown' properly in the ui module.,UI,Medium,P1,Frontend
UI Bug #7,The system fails to handle 'dropdown' properly in the ui module.,UI,High,P3,Frontend
UI Bug #8,The system fails to handle 'button' properly in the ui module.,UI,Critical,P0,Frontend
UI Bug #9,The system fails to handle 'style' properly in the ui module.,UI,Low,P1,Frontend
UI Bug #10,The system fails to handle 'layout' properly in the ui module.,UI,High,P1,Frontend
UI Bug #11,The system fails to handle 'layout' properly in the ui module.,UI,Critical,P3,Frontend
UI Bug #12,The system fails to handle 'button' properly in the ui module.,UI,Medium,P1,Frontend
UI Bug #13,The system fails to handle 'responsive' properly in the ui module.,UI,High,P0,Frontend
UI Bug #14,The system fails to handle 'alignment' properly in the ui module.,UI,Low,P0,Frontend
UI Bug #15,The system fails to handle 'button' properly in the ui module.,UI,Low,P3,Frontend
UI Bug #16,The system fails to handle 'alignment' properly in the ui module.,UI,High,P1,Frontend
UI Bug #17,The system fails to handle 'alignment' properly in the ui module.,UI,Medium,P1,Frontend
UI Bug #18,The system fails to handle 'layout' properly in the ui module.,UI,Medium,P3,Frontend
UI Bug #19,The system fails to handle 'style' properly in the ui module.,UI,Low,P1,Frontend
UI Bug #20,The system fails to handle 'responsive' properly in the ui module.,UI,Medium,P1,Frontend
UI Bug #21,The system fails to handle 'dropdown' properly in the ui module.,UI,High,P1,Frontend
UI Bug #22,The system fails to handle 'button' properly in the ui module.,UI,High,P1,Frontend
UI Bug #23,The system fails to handle 'layout' properly in the ui module.,UI,Critical,P0,Frontend
UI Bug #24,The system fails to handle 'responsive' properly in the ui module.,UI,Critical,P3,Frontend
UI Bug #25,The system fails to handle 'style' properly in the ui module.,UI,Critical,P1,Frontend
UI Bug #26,The system fails to handle 'layout' properly in the ui module.,UI,Critical,P1,Frontend
UI Bug #27,The system fails to handle 'style' properly in the ui module.,UI,Critical,P3,Frontend
UI Bug #28,The system fails to handle 'layout' properly in the ui module.,UI,High,P3,Frontend
UI Bug #29,The system fails to handle 'responsive' properly in the ui module.,UI,High,P2,Frontend
UI Bug #30,The system fails to handle 'style' properly in the ui module.,UI,Medium,P2,Frontend
Backend Bug #1,The system fails to handle 'exception' properly in the backend module.,Backend,High,P2,Backend
Backend Bug #2,The system fails to handle 'exception' properly in the backend module.,Backend,Low,P3,Backend
Backend Bug #3,The system fails to handle 'endpoint' properly in the backend module.,Backend,Critical,P0,Backend
Backend Bug #4,The system fails to handle 'API' properly in the backend module.,Backend,Low,P0,Backend
Backend Bug #5,The system fails to handle 'controller' properly in the backend module.,Backend,Medium,P1,Backend
Backend Bug #6,The system fails to handle 'endpoint' properly in the backend module.,Backend,Critical,P0,Backend
Backend Bug #7,The system fails to handle 'API' properly in the backend module.,Backend,Low,P3,Backend
Backend Bug #8,The system fails to handle 'logic' properly in the backend module.,Backend,Critical,P1,Backend
